"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"05/08/2012","","Submarino","","3029750","-94.91",
"05/08/2012","","Pagto TV por Assinatura","","47289","-116.39",
"05/09/2012","","Resgate BB CDB DI","","1710011068734","2000.00",
"05/09/2012","","Resgate BB CDB DI","","1710011068734","35.28",
"05/09/2012","3870-9","Compra com Cartão - 09/05 14:16 RANG","","151388","-24.64",
"05/09/2012","3870-9","Compra com Cartão - 09/05 14:28  LAR","","252119","-44.70",
"05/09/2012","3870-9","Compra com Cartão - 09/05 17:37    FORCA E SAUDE","","363454","-18.00",
"05/09/2012","3870-9","Transferência on line - 09/05 1249      23203-3 HFM CORRET DE","","521249000023203","-2000.00",
"05/10/2012","","Resgate BB CDB DI","","1710011068734","2000.00",
"05/10/2012","","Resgate BB CDB DI","","1710011068734","35.72",
"05/10/2012","3870-9","Transferência on line - 10/05 1249      23203-3 HFM CORRET DE","","521249000023203","-2000.00",
"05/11/2012","3870-9","Compra com Cartão - 11/05 02:42 O RJ","","109737","-72.00",
"05/11/2012","3870-9","Compra com Cartão - 11/05 13:18    POSTO QUATRO ESTR","","247897","-3.00",
"05/11/2012","3870-9","Compra com Cartão - 11/05 16:04  GLORIA","","357872","-7.00",
"05/14/2012","","Resgate BB CDB DI","","1710011068734","2000.00",
"05/14/2012","","Resgate BB CDB DI","","1710011068734","36.68",
"05/14/2012","3870-9","Compra com Cartão - 12/05 17:57    BIG BI","","164647","-18.00",
"05/14/2012","3870-9","Compra com Cartão - 12/05 22:46    POSTO QUATRO ESTR","","281977","-58.80",
"05/14/2012","","Banco 24 Horas - 12/05 21:46 TERM. TECBAN 00436","","12135000058082","-210.00",
"05/15/2012","3870-9","Compra com Cartão - 15/05 09:11    BOOMERANG","","133117","-10.00",
"05/15/2012","3870-9","Compra com Cartão - 15/05 12:23  GLORIA","","244606","-17.56",
"05/15/2012","","Telefone Pre-Pago - 2195744758-Vivo RJ","","95744758527467","-25.00",
"05/16/2012","3870-9","Compra com Cartão - 16/05 18:12    ZONA SUL FL 33","","165546","-99.29",
"05/17/2012","3870-9","Compra com Cartão - 17/05 12:15  GLORIA","","144147","-20.64",
"05/18/2012","3870-9","Compra com Cartão - 18/05 12:10    BIG BIG SUCOS E L","","143806","-5.50",
"05/18/2012","3870-9","Compra com Cartão - 18/05 12:21    DROG FUTURA SAO S","","244477","-10.00",
"05/21/2012","3870-9","Compra com Cartão - 19/05 01:23    COMUNA","","105017","-22.00",
"05/21/2012","3870-9","Compra com Cartão - 20/05 05:34    ANTONIOS BAR","","220073","-10.00",
"05/21/2012","3870-9","Compra com Cartão - 21/05 08:08    REI DO MATE COBAL","","329325","-15.30",
"05/21/2012","3870-9","Compra com Cartão - 21/05 16:02    CASA DO PAO","","657768","-13.00",
"05/21/2012","3870-9","Compra com Cartão - 21/05 23:28 EBOUCAS","","784489","-40.00",
"05/21/2012","","Compra-WEB","","3061210","-23.49",
"05/21/2012","","Compra-WEB","","3032585210020","-35.00",
"05/21/2012","","Compra-WEB","","3061215210010","-61.80",
"05/22/2012","3870-9","Compra com Cartão - 22/05 09:07 RANG","","132823","-18.04",
"05/22/2012","3870-9","Compra com Cartão - 22/05 13:45    MISTURA CASUAL RE","","249541","-16.75",
"05/22/2012","3870-9","Compra com Cartão - 22/05 13:52    REI DO MATE","","349931","-10.50",
"05/23/2012","3870-9","Compra com Cartão - 23/05 10:22    ZONA SUL  FL 1006","","137356","-9.90",
"05/23/2012","3870-9","Compra com Cartão - 23/05 13:03    FAGULHAS","","247023","-32.35",
"05/23/2012","3870-9","Compra com Cartão - 23/05 13:16    LOJAS AMERICANAS","","347802","-174.93",
"05/24/2012","3870-9","Compra com Cartão - 24/05 09:02    BOOMERANG","","132535","-10.00",
"05/24/2012","3870-9","Compra com Cartão - 24/05 12:24    GRAO INTEGRAL","","244691","-34.04",
"05/24/2012","3870-9","Compra com Cartão - 24/05 21:50  E TRIUNFOS","","378630","-23.00",
"05/25/2012","3870-9","Compra com Cartão - 25/05 12:52    FAGULHAS","","146344","-33.82",
"05/25/2012","","Banco 24 Horas - 25/05 11:01 TERM. TECBAN 00436","","12146000031638","-210.00",
"05/25/2012","","Tarifa Pacote de Serviços - Tarifa referente a 25/05/2012","","861460900402534","-9.52",
"05/28/2012","3870-9","Compra com Cartão - 26/05 08:38    REI DO MATE COBAL","","131084","-9.70",
"05/28/2012","3870-9","Compra com Cartão - 27/05 12:42    BOOMERANG","","145758","-27.39",
"05/28/2012","3870-9","Compra com Cartão - 27/05 12:49    ZONA SUL FL 33","","246165","-41.72",
"05/28/2012","3870-9","Compra com Cartão - 26/05 13:47    TAIPING","","249678","-38.41",
"05/28/2012","3870-9","Compra com Cartão - 28/05 10:54 INTEGRAL","","339272","-10.40",
"05/28/2012","3870-9","Compra com Cartão - 26/05 13:55    STAR BUCKS","","350157","-10.40",
"05/28/2012","3870-9","Compra com Cartão - 26/05 18:58    REI DO MATE","","668339","-8.30",
"05/28/2012","3870-9","Compra com Cartão - 26/05 19:40    TRINIDAD","","770814","-276.00",
"05/28/2012","3870-9","Compra com Cartão - 26/05 20:46    MANGO MIX","","874800","-7.50",
"05/28/2012","","Telefone Pre-Pago - 2195744758-Vivo RJ","","95744758013595","-25.00",
"05/28/2012","","Pagamento de Título - ","","52801","-156.07",
"05/29/2012","3870-9","Compra com Cartão - 29/05 12:55    SEVERYNA LARANJEI","","146536","-19.39",
"05/29/2012","3870-9","Compra com Cartão - 29/05 13:14 INTEGRAL","","247654","-5.20",
"05/29/2012","","GOL Transportes Aéreos","","86140","-90.47",
"05/29/2012","","BB Renda Fixa 200","","1200026","-5000.00",
"05/30/2012","3870-9","Compra com Cartão - 30/05 08:56    BOOMERANG","","132164","-13.75",
"05/30/2012","3870-9","Compra com Cartão - 30/05 15:08    SUSHIMAR","","254529","-30.00",
"05/30/2012","3870-9","Compra com Cartão - 30/05 23:22    JOAQUINA BAR E RE","","384145","-25.00",
"05/31/2012","3870-9","Compra com Cartão - 31/05 10:40 INTEGRAL","","138415","-9.00",
"05/31/2012","","S A L D O","","0","427.30",
